source	target	source_id	target_id	reasoning	is_correct	questionable
clustering techniques	clustering approach	G06K 9/6218	clustering_approach	Same concept in slightly different hierarchies.	1	
optimization	structure optimization	G06Q 30/0244	structure_optimization	CPC is about advertisement optimization	0	
education	education	G06Q 50/20	education	Granularity of both concepts deviates too heavily	0	
memory management	memory management	G06T 1/60	memory_management	CPC is about image processing, while CSO is about memory management in context of memory allocation in general	0	
mixed reality 	mixed reality	G06T 19/006	mixed_reality	Both are in the context of augmented reality	1	
median filtering	median filtering	G06T 2207/20032	median_filtering	Both are about image processing	1	
face	facial features	G06T 2207/30201	facial_features	Both are about image processing, but face is more general than facial features	0	
surveillance	surveillance systems	G06T 2207/30232	surveillance_systems	Different context. CPC is about images and CSO about security	0	
client-server	client-server architectures	G07B 2017/00056	client-server_architectures	Both are about client-server architectures	1	
random number generator	random number generator	G07B 2017/00919	random_number_generator	Both are descendants of cryptography	1	
microwaves	microwaves	G07D 7/10	microwaves	CSO is about signal processing and CPC about checking devices for currencies	0	
matching template patterns	template matching	G07D 7/206	template_matching	CSO is about image patterns and CPC about checking devices for currencies	0	
codebooks	codebook	G10L 2019/0001	codebook	CPC is about speech analysis and CSO about image processing	0	
satellite communication	satellite communications	G07B 2017/00129	satellite_communications	Same notion	1	
passwords	password authentication	G07B 2017/00935	password_authentication	Both are about password authentication in the context of security	1	
compression techniques	compression scheme	G07B 2017/00943	compression_scheme	CSO is dedicated to image compression, while CPC is not	0	
frequency division multiplexing	frequency division multiplexing	G10H 2240/225	frequency_division_multiplexing	Different domain	0	
one dimensional	one-dimensional	G10K 2210/101	one-dimensional	CSO is about the general mathematical concept, while CPC is specialized	0	
three dimensional	three-dimensional modeling	G10K 2210/103	three-dimensional_modeling	Same as with “one dimensional”	0	
dynamic bit allocation	bit allocation	G10L 19/002	bit_allocation	Both are about bit allocation in field of audio/images	1	
word spotting	word spotting	G10L 2015/088	word_spotting	Both are about information retrieval	1	
corrosion	corrosion prevention	Y10S 138/06	corrosion_prevention	Domains are different	0	
gallium arsenide	gaas%2Falgaas	Y10S 148/056	gaas%2Falgaas	Hard to determine, but might be a match	1	?
magnetic coupling	electromagnetic coupling	Y10S 159/07	electromagnetic_coupling	Different concept, already indicated by names	0	
glass	viscous flow	Y10S 285/911	viscous_flow	CSO is about mathematics and CPC about other domain	0	
infrared	infrared focal plane arrays	Y10S 430/145	infrared_focal_plane_arrays	The hierarchy of CPC is not very expressive, but probably the domains deviate	0	?
etching	wet etching	Y10S 505/728	wet_etching	CPC is about superconductors, while CSO is not	0	
annealing	thermal annealing	Y10S 505/742	thermal_annealing	CPC is about the physical concept of annealing, while CSO refers to the algorithmic concept	0	
human sciences	human sciences	Y10S 707/941	human_sciences	CPC is about the application of databases, while CSO is about the research area. Still they describe the same item	1	
carrier	carrier (co)	Y10S 71/904	carrier_%28co%29	CPC is about the chemical domain, while CSO is not 	0	
automatic gain control	automatic gain control	Y10S 73/90	automatic_gain_control	Domains deviate	0	
robot	robots	Y10S 901/08	robots	Concepts match	1	
temperature	temperature monitoring	Y10T 137/1963	temperature_monitoring	CSO is about sensors and CPC about the notion temperature itself. Although field is different the underlying item is the same	1	
dash	dash	Y10T 137/6888	dash	CSO is about http while CPC is about automotive	0	
patches	image patches	Y10T 152/10882	image_patches	Hierarchy of CPC is not very meaningful, but probably not a match	0	?
coil	coil	Y10T 16/5388	coil	CPC is about hinges, while CSO is about chemical lasers	0	
coil	coil	Y10T 16/5995	coil	Again, CPC is a different concept	0	
metal	metal insulator boundaries	Y10T 29/49213	metal_insulator_boundaries	Hierarchy different, however, both refer to the same item	1	
process	(e ,3e) process	Y10T 409/300112	%28e_%2C3e%29_process	CSO is about process control (automation), while CPC is about NC systems. Therefore it probably matches	1	?
by deformation	elastic deformation	Y10T 83/9343	elastic_deformation	Hierarchy different	0	
