source	target	source_id	target_id
trust	Trust	G06F 2211/009	10002951.10003260.10003282.10003296.10003298
distributed memory	Distributed memory	G06F 2212/254	10011007.10010940.10010941.10010949.10010950.10010955
mobile device	Mobile devices	G06F 2213/3806	10003120.10003138.10003141.10010898
data mining	Data mining	G06F 2216/03	10002951.10003227.10003351
traceability	Traceability	G06F 2221/0737	10011007.10011074.10011099.10011105.10011110
emerging technologies	Emerging technologies	G06F 2221/0746	10010583.10010786
libraries, e.g. tape libraries, jukebox	Tape libraries	G06F 3/0686	10002951.10003152.10003153.10003160
timing analysis	Timing analysis	G06F 30/3312	10010583.10010682.10010705
version control	Version control	G06F 40/197	10010405.10010497.10010500.10010502
dictionaries	Dictionaries	G06F 40/242	10002951.10003317.10003318.10011148
natural language generation	Natural language generation	G06F 40/56	10010147.10010178.10010179.10010182
interval arithmetic	Interval arithmetic	G06F 7/49989	10002950.10003714.10003715.10003725
consistency 	Consistency	G06F 8/454	10011007.10010940.10010992.10010993.10010996
bootstrapping	Bootstrapping	G06F 9/4401	10002950.10003648.10003670.10003684.10003685
inheritance	Inheritance	G06F 9/4492	10011007.10011006.10011008.10011024.10011026
finite state machines	Finite state machines	G06F 9/4498	10010583.10010600.10010615.10010620
rasterization	Rasterization	G06K 15/1836	10010147.10010371.10010372.10010373
machine learning	Machine learning	G06N 20/00	10010147.10010257
architectures, e.g. interconnection topology	Interconnection architectures	G06N 3/04	10010520.10010521.10010528.10010530
licensing	Licensing	G06Q 2220/18	10003456.10003462.10003463.10003470
surveys	Surveys and overviews	G06Q 30/0245	10002944.10011122.10002945
wireless devices	Wireless devices	G06Q 30/0267	10010583.10010588.10011669
online advertisement	Online advertising	G06Q 30/0277	10002951.10003260.10003272
animation	Animation	G06T 13/00	10010147.10010371.10010352
non-photorealistic rendering	Non-photorealistic rendering	G06T 15/02	10010147.10010371.10010372.10010375
image-based rendering	Image-based rendering	G06T 15/205	10010147.10010371.10010382.10010385
document	Documentation	G06T 2207/30176	10011007.10011074.10011111.10010913
surveillance	Surveillance	G06T 2207/30232	10003456.10003462.10003487
software architecture	Software architectures	G07B 2017/00048	10011007.10010940.10010971.10010972
key management	Key management	G07B 2017/00846	10002978.10002979.10002980
speech recognition	Speech recognition	G10L 15/00	10010147.10010178.10010179.10010183
magnetic discs	Magnetic disks	G11B 2220/2508	10002951.10003152.10003153.10003155
semiconductor memories	Semiconductor memory	G11B 23/0305	10010583.10010600.10010607
after packaging	Packaging	G11C 2229/743	10010583.10010682.10010697.10010699
before packaging	Packaging	G11C 2229/746	10010583.10010682.10010697.10010699
agriculture	Agriculture	G16Y 10/05	10010405.10010476.10010480
transportation	Transportation	G16Y 10/40	10010405.10010481.10010485
chemistry	Chemistry	G16Y 10/90	10010405.10010432.10010436
battery	Batteries	Y10S 164/01	10010583.10010662.10010663.10010664
medical record	Medical records	Y10S 283/90	10003456.10003462.10003602.10003603
wide area network	Wide area networks	Y10S 370/901	10003033.10003083.10003084.10003088
local area network	Local area networks	Y10S 370/908	10003033.10003083.10003084.10003086
intellectual property	Intellectual property	Y10S 707/923	10003456.10003462.10003463
network	Networks	Y10S 707/959	10003033
version management	Version management	Y10S 707/99954	10002951.10003152.10003520.10003184
garbage collection	Garbage collection	Y10S 707/99957	10011007.10010940.10010941.10010949.10010950.10010954
printed circuit board	Printed circuit boards	Y10S 83/9291	10010583.10010584
electronic funds transfer	Electronic funds transfer	Y10S 902/00	10002951.10003260.10003282.10003550.10003554
having digital flow controller	Information flow control	Y10T 137/8729	10002978.10003006.10011608
having digital flow controller	Information flow control	Y10T 137/87298	10002978.10003006.10011608
